1:A1,1:A2,22:A1,22:A2,43:A1,43:A2,64:A1,64:A2,85:A1,85:A2,106:A1,106:A2,127:A1,127:A2,148:A1,148:A2,169:A1,169:A2,190:A1,190:A2,211:A1,211:A2,232:A1,232:A2,253:A1,253:A2,274:A1,274:A2,295:A1,295:A2,316:A1,316:A2,337:A1,337:A2,358:A1,358:A2,379:A1,379:A2,400:A1,400:A2,421:A1,421:A2
-5.355933e-09,-1.5708573e-10,-2.9245992e-09,-9.793218e-10,-1.9506075e-09,-1.2930305e-09,2.3105715e-10,-6.3005032e-09,-3.6815828e-09,-8.788535e-09,-4.8846998e-09,-8.117488e-09,-5.3022515e-09,-1.0301549e-08,-7.3031576e-09,-7.486321e-09,-1.9304036e-09,-7.710623e-09,-5.1451736e-09,-8.668475e-09,7.1328725e-09,-1.2115634e-09,-5.137174e-10,-3.550231e-09,7.787218e-09,7.784169e-09,6.6096453e-09,-2.5856863e-09,1.43419685e-08,1.5988801e-08,2.192491e-08,1.3743353e-08,2.8054643e-08,3.0491663e-08,4.0901273e-08,3.786207e-08,4.509143e-08,4.3641172e-08,5.3692837e-08,5.2914356e-08,5.3467904e-08,4.6825512e-08
-4.91291e-09,4.4590087e-09,-4.227338e-09,4.7094755e-09,-1.9141964e-09,3.9303822e-09,-1.6118693e-09,6.198824e-09,2.5665687e-09,7.2281985e-09,5.303474e-09,6.449573e-09,3.831836e-09,6.8473387e-09,6.012367e-09,9.783493e-09,5.2037814e-09,1.3019767e-08,1.4881844e-08,1.7850311e-08,1.0648322e-08,1.9271575e-08,2.3887715e-08,1.9847482e-08,2.6913899e-08,1.4324225e-08,2.481301e-08,1.2149868e-08,2.1480693e-08,1.1238155e-08,1.3539176e-08,5.9674496e-09,9.477669e-09,1.691976e-08,1.7224208e-08,1.3888971e-08,2.398872e-08,3.2846067e-08,5.1066905e-08,2.4961569e-08,6.0273386e-08,3.965511e-08
-8.2517215e-10,6.4719863e-10,3.7256926e-09,2.5800115e-10,1.33368e-09,-6.950866e-10,1.883336e-09,9.10261e-10,-1.8470793e-10,3.3205835e-10,-2.5377869e-09,3.562511e-09,9.939559e-10,7.283563e-09,3.0153207e-09,5.5862257e-09,3.355067e-09,5.690301e-09,4.337499e-09,8.027731e-09,1.7407128e-08,8.297884e-09,1.5225522e-08,1.4367107e-08,3.5674326e-09,8.089512e-09,4.288705e-09,1.5270373e-08,-1.2574923e-08,-1.6305131e-09,-1.5613631e-08,3.1542442e-09,-2.0462439e-08,-7.011026e-09,-2.772003e-08,-8.164651e-09,-1.3587116e-08,-5.247961e-09,-1.1105601e-08,-1.2774782e-08,1.887866e-08,-2.6565797e-10
3.319094e-09,6.958147e-09,-6.948678e-09,8.617344e-09,-5.0794933e-09,1.3083036e-08,-5.328647e-09,1.0056895e-08,-5.2871867e-09,1.1064317e-08,-2.912306e-09,1.0253266e-08,-4.999005e-09,5.741837e-09,-6.179855e-09,8.6111545e-09,-4.0856234e-09,6.823539e-09,-7.083083e-09,1.8101419e-09,-2.3805464e-08,-2.5469782e-09,-2.5311076e-08,-8.700911e-09,-3.364859e-08,-1.4935127e-08,-3.90242e-08,-1.5418017e-08,-3.1517693e-08,-1.805983e-08,-3.5068712e-08,-1.2803183e-08,-2.8677073e-08,-2.773849e-08,-3.15283e-08,-2.348041e-08,-3.4577937e-08,-4.292893e-08,-4.917957e-08,-3.0936746e-08,-4.4999265e-08,-4.3159996e-08
-1.8765634e-08,3.2930654e-08,-4.5472675e-09,3.0402358e-08,-6.3174577e-09,2.3527704e-08,-5.13957e-09,2.657954e-08,-1.3766295e-10,2.3591625e-08,-4.1315254e-10,1.823553e-08,2.5685787e-09,1.6628968e-08,5.6553295e-10,6.1543544e-09,-4.749953e-09,3.3658581e-10,-1.4973914e-08,-4.4316697e-09,-2.4502087e-08,-2.2025548e-08,-4.259696e-08,-3.646975e-08,-2.7533666e-08,-2.8156226e-08,-3.1322756e-08,-3.9178893e-08,-2.2655415e-08,-2.6525843e-08,-1.1566323e-08,-3.8253248e-08,-7.6652835e-09,-3.2187454e-08,-4.3649875e-09,-3.4473015e-08,-1.810965e-08,-4.8528012e-08,-2.589624e-08,-4.389866e-08,-6.5766535e-08,-6.488726e-08
-6.686452e-09,2.0712832e-08,-1.3434604e-08,2.3142574e-08,-4.009273e-09,2.797975e-08,1.1371208e-09,2.2854097e-08,2.8411988e-09,2.0350468e-08,5.526038e-09,2.2227498e-08,8.983991e-09,1.7763785e-08,1.0951841e-08,1.9918197e-08,1.7395685e-08,1.7036598e-08,1.5287295e-08,1.0398072e-08,1.4197901e-08,8.502364e-09,1.8199602e-08,5.1811515e-09,1.06069855e-08,-2.0014124e-09,2.0192175e-08,-1.4960184e-08,2.0101304e-08,-2.2121808e-08,2.0375335e-08,-3.560957e-08,1.0379843e-08,-3.3356017e-08,1.0274687e-08,-4.9985278e-08,-3.5880081e-09,-3.4307075e-08,-5.795989e-09,-5.1783516e-08,-2.9173954e-08,-4.4263967e-08
-9.004248e-09,1.9165135e-08,6.585092e-10,1.7294079e-08,-3.2771041e-09,1.5155157e-08,-7.764648e-10,1.8900344e-08,1.5308793e-09,2.1346343e-08,6.085433e-09,2.0993115e-08,6.761792e-09,2.4960709e-08,1.3985118e-08,2.5602462e-08,1.2619876e-08,2.9199823e-08,3.0711018e-08,3.8198554e-08,3.9002284e-08,3.2454206e-08,5.9422398e-08,3.0936295e-08,5.2869705e-08,1.2820077e-08,5.1274192e-08,1.7427636e-08,3.4522788e-08,-2.8543292e-09,1.935775e-08,-5.0584497e-09,7.149715e-09,-1.9936692e-08,-1.4240807e-08,-2.9965335e-08,-1.7582295e-08,-2.5133073e-08,-2.627936e-08,-3.446291e-08,-9.921411e-09,-1.2540295e-08
-5.122768e-10,8.249911e-09,-1.5870988e-09,8.967089e-09,1.4346782e-09,7.635701e-09,-1.6026617e-09,7.548806e-09,-1.0282447e-09,8.08767e-09,-3.3635925e-09,1.1113768e-08,-7.136946e-10,1.34003715e-08,5.317425e-10,1.8734745e-08,8.294646e-09,2.1937085e-08,1.2683507e-08,2.500192e-08,3.111144e-08,3.769697e-08,3.0894192e-08,3.8652296e-08,3.879978e-08,2.9181262e-08,2.389849e-08,2.1399146e-08,1.1035463e-08,1.00546975e-08,-5.7690053e-09,1.1507721e-08,-1.5378127e-08,2.9716085e-09,-2.8544227e-08,1.7677406e-08,-2.7547046e-08,-1.6176678e-09,-4.3225178e-08,7.2888064e-09,-2.9422083e-08,5.783814e-09
-2.3244457e-09,-3.767124e-09,-5.0631552e-09,-3.1159422e-09,-3.2133247e-09,8.517103e-10,9.1165253e-10,-9.114574e-10,1.4128346e-09,-1.503755e-09,2.828451e-09,-1.6146897e-09,3.6386303e-09,-3.3664511e-09,1.7289964e-09,-5.107504e-09,2.4865514e-09,-5.651644e-09,-5.1285243e-09,-1.1851559e-08,-1.2258731e-08,-1.32202285e-08,-2.223233e-08,-1.33543185e-08,-1.7762858e-08,3.4084153e-09,-2.2419878e-08,1.3334939e-09,-9.048487e-09,1.5363629e-08,-1.4901385e-08,1.8378953e-08,-1.7760051e-08,2.4714042e-08,-1.2437567e-08,3.161352e-08,-2.1256726e-08,3.4709434e-08,-1.9382005e-08,5.055846e-08,-4.258545e-08,2.4522103e-08
7.399987e-10,-2.3050863e-09,7.6792634e-09,-4.117383e-09,4.7601487e-09,-8.465904e-09,4.1373904e-09,-6.0472027e-09,6.8458914e-09,-7.622827e-09,7.826702e-09,-1.1171222e-08,9.274131e-09,-1.2647205e-08,1.0165924e-08,-2.0542675e-08,1.7739147e-09,-2.5963432e-08,-3.1296528e-09,-2.7214579e-08,-1.9713694e-08,-3.41901e-08,-2.7086582e-08,-3.7445528e-08,-4.12171e-08,-2.2388603e-08,-2.1274097e-08,-1.3842205e-08,-2.632496e-08,7.2638215e-09,-2.005276e-09,1.0958495e-08,4.587201e-09,3.3055464e-08,5.41815e-09,3.3753984e-08,4.0555306e-09,5.0647863e-08,1.8476854e-08,4.8871364e-08,8.084899e-09,5.133946e-08
2.7668378e-08,-1.3852969e-08,1.7941307e-08,-1.082889e-08,1.9663824e-08,-7.837481e-09,1.7671653e-08,-1.0268656e-08,1.3988276e-08,-1.0090833e-08,1.2016878e-08,-8.797008e-09,5.68397e-09,-1.24417205e-08,6.447292e-10,-5.720002e-09,1.6021859e-09,-5.094786e-09,-6.0086136e-10,-6.665301e-09,-4.479048e-09,-8.6117655e-09,-6.519665e-09,-2.7469798e-09,-8.899591e-09,-1.0030709e-08,-2.4326809e-08,5.2509423e-09,-1.799335e-08,8.441843e-09,-1.4249025e-08,1.8000414e-08,-5.5934386e-09,2.2669324e-08,1.9385691e-08,1.8561114e-08,3.0718294e-08,2.6584008e-08,4.2505732e-08,1.8265196e-08,7.031643e-08,3.6618392e-08
