1:U1,1:U2,22:U1,22:U2,43:U1,43:U2,64:U1,64:U2,85:U1,85:U2,106:U1,106:U2,127:U1,127:U2,148:U1,148:U2,169:U1,169:U2,190:U1,190:U2,211:U1,211:U2,232:U1,232:U2,253:U1,253:U2,274:U1,274:U2,295:U1,295:U2,316:U1,316:U2,337:U1,337:U2,358:U1,358:U2,379:U1,379:U2,400:U1,400:U2,421:U1,421:U2
2.8787328e-09,-5.0352e-11,2.8744531e-09,-5.0229865e-11,2.8701157e-09,-4.973901e-11,2.8657599e-09,-4.8885417e-11,2.8614593e-09,-4.7464303e-11,2.8575402e-09,-4.5559643e-11,2.8539482e-09,-4.308892e-11,2.8513378e-09,-4.0066613e-11,2.8493046e-09,-3.644533e-11,2.8507738e-09,-3.19167e-11,2.8592642e-09,-1.8884987e-11,2.8655833e-09,-8.226012e-12,2.8739362e-09,6.9878825e-13,2.8804656e-09,9.3552735e-12,2.8886489e-09,1.6177785e-11,2.8941163e-09,2.297591e-11,2.9017369e-09,2.8272992e-11,2.9062683e-09,3.275943e-11,2.912975e-09,3.5859597e-11,2.915918e-09,3.714679e-11,2.92032e-09,3.7925347e-11
2.8943181e-09,-3.8915107e-11,2.8910687e-09,-3.8883473e-11,2.8877194e-09,-3.8603377e-11,2.8843232e-09,-3.806543e-11,2.8809553e-09,-3.7124095e-11,2.8778344e-09,-3.584115e-11,2.8749005e-09,-3.405112e-11,2.8728293e-09,-3.1878274e-11,2.870969e-09,-2.9198064e-11,2.8721225e-09,-2.5747847e-11,2.8774247e-09,-1.62373e-11,2.8823341e-09,-7.356621e-12,2.8875218e-09,-2.7910427e-13,2.8950524e-09,8.190628e-12,2.9019982e-09,1.2602478e-11,2.9103397e-09,1.8578963e-11,2.9167033e-09,2.0070242e-11,2.9229523e-09,2.3921686e-11,2.9283234e-09,2.4641695e-11,2.9328389e-09,2.634224e-11,2.938644e-09,2.777946e-11
2.9104297e-09,-2.1414346e-11,2.9081442e-09,-2.1411359e-11,2.9058453e-09,-2.1292629e-11,2.9035216e-09,-2.1153076e-11,2.901154e-09,-2.0833274e-11,2.8988523e-09,-2.0391723e-11,2.8966074e-09,-1.9704943e-11,2.8946454e-09,-1.8876869e-11,2.8928104e-09,-1.771069e-11,2.891977e-09,-1.6412637e-11,2.8924914e-09,-1.1348234e-11,2.8937788e-09,-6.5645952e-12,2.896149e-09,-1.427218e-12,2.901689e-09,2.52856e-12,2.9063865e-09,5.524968e-12,2.9141212e-09,7.576092e-12,2.9195308e-09,8.162944e-12,2.9274785e-09,8.464801e-12,2.9320428e-09,7.920194e-12,2.9396134e-09,8.413395e-12,2.9442038e-09,7.631084e-12
2.9248521e-09,-1.6878553e-12,2.9240141e-09,-1.7049987e-12,2.92326e-09,-1.7450361e-12,2.9224474e-09,-1.9076752e-12,2.9216725e-09,-2.1302762e-12,2.9207494e-09,-2.5241313e-12,2.9197926e-09,-3.006252e-12,2.918466e-09,-3.659182e-12,2.9170726e-09,-4.3895226e-12,2.9144571e-09,-5.3340856e-12,2.9108318e-09,-6.3764124e-12,2.9080742e-09,-6.726351e-12,2.9083749e-09,-5.253073e-12,2.9092844e-09,-6.331245e-12,2.9125176e-09,-4.69385e-12,2.916558e-09,-6.4817934e-12,2.9218268e-09,-5.689861e-12,2.9279335e-09,-8.009431e-12,2.932755e-09,-9.077817e-12,2.9386906e-09,-9.870692e-12,2.9416982e-09,-1.1911481e-11
2.9363274e-09,1.7746542e-11,2.9374947e-09,1.7705339e-11,2.938828e-09,1.7613145e-11,2.9402538e-09,1.7285881e-11,2.9417981e-09,1.6651458e-11,2.943118e-09,1.565896e-11,2.944356e-09,1.4297841e-11,2.9448806e-09,1.2555982e-11,2.9451905e-09,1.04286085e-11,2.9432037e-09,7.8648164e-12,2.9382579e-09,7.0845695e-13,2.9343978e-09,-4.4816924e-12,2.9321732e-09,-8.802612e-12,2.9291514e-09,-1.2182677e-11,2.9299443e-09,-1.43388496e-11,2.9293323e-09,-1.7044175e-11,2.931778e-09,-1.852855e-11,2.9320082e-09,-2.080414e-11,2.9343008e-09,-2.194262e-11,2.9334994e-09,-2.3488881e-11,2.9356726e-09,-2.2973248e-11
2.9470972e-09,3.4432058e-11,2.950685e-09,3.430045e-11,2.9543599e-09,3.400871e-11,2.9580338e-09,3.3386918e-11,2.9617468e-09,3.252795e-11,2.9653169e-09,3.1247848e-11,2.9687095e-09,2.9624185e-11,2.9716156e-09,2.7616494e-11,2.9741454e-09,2.5157048e-11,2.9748906e-09,2.2286166e-11,2.9716727e-09,1.2423452e-11,2.9705267e-09,4.2686774e-12,2.9661056e-09,-5.1672217e-12,2.962018e-09,-1.0869382e-11,2.9567275e-09,-1.8348278e-11,2.950957e-09,-2.1550265e-11,2.946186e-09,-2.6434585e-11,2.9394274e-09,-2.8116889e-11,2.9360951e-09,-2.9263113e-11,2.9300098e-09,-3.0755967e-11,2.9285954e-09,-2.8542665e-11
2.962307e-09,4.2753853e-11,2.967355e-09,4.2556843e-11,2.9722813e-09,4.2145405e-11,2.9771707e-09,4.1487456e-11,2.9819298e-09,4.061695e-11,2.9865863e-09,3.952567e-11,2.991048e-09,3.823807e-11,2.9953635e-09,3.6727905e-11,2.9994531e-09,3.4888772e-11,3.0024967e-09,3.2525302e-11,3.0019853e-09,2.3714539e-11,3.0030325e-09,1.4686299e-11,2.9989335e-09,3.8734814e-12,2.994003e-09,-5.754041e-12,2.9833724e-09,-1.5750137e-11,2.973283e-09,-2.2030116e-11,2.9603828e-09,-2.7726797e-11,2.9501699e-09,-2.9788998e-11,2.9399823e-09,-3.1394488e-11,2.9333271e-09,-3.1369057e-11,2.9254217e-09,-3.224394e-11
2.9848177e-09,3.9767273e-11,2.9893352e-09,3.9649412e-11,2.9938494e-09,3.9413955e-11,2.998289e-09,3.899389e-11,3.0027405e-09,3.848378e-11,3.0070733e-09,3.7785688e-11,3.0114653e-09,3.6943986e-11,3.0155736e-09,3.5853934e-11,3.019822e-09,3.446079e-11,3.0227143e-09,3.249006e-11,3.0234881e-09,2.536397e-11,3.0233074e-09,1.6614574e-11,3.0204848e-09,8.015028e-12,3.0140288e-09,-2.693286e-12,3.004107e-09,-1.02677155e-11,2.9926344e-09,-1.8800246e-11,2.977982e-09,-2.3030954e-11,2.9668292e-09,-2.6114569e-11,2.9527794e-09,-2.8251228e-11,2.9449156e-09,-2.7114819e-11,2.932781e-09,-3.02124e-11
3.0125378e-09,2.9402834e-11,3.0153642e-09,2.9369614e-11,3.0183587e-09,2.931332e-11,3.0213585e-09,2.9110183e-11,3.0245588e-09,2.8759878e-11,3.0276253e-09,2.8129459e-11,3.0307898e-09,2.7240342e-11,3.0333827e-09,2.6001255e-11,3.0360712e-09,2.4523071e-11,3.0369312e-09,2.2453423e-11,3.036083e-09,1.6335168e-11,3.0339706e-09,9.5207574e-12,3.03107e-09,4.1206465e-12,3.0248588e-09,-2.0888978e-12,3.018923e-09,-5.7363628e-12,3.0101293e-09,-1.0697431e-11,3.0011373e-09,-1.3144011e-11,2.9902925e-09,-1.6343517e-11,2.9790979e-09,-1.7893907e-11,2.9674332e-09,-1.9045952e-11,2.9558123e-09,-1.9458855e-11
3.0419338e-09,1.6627198e-11,3.0431277e-09,1.6577793e-11,3.0444074e-09,1.6506591e-11,3.045741e-09,1.6218867e-11,3.0470786e-09,1.57389e-11,3.0482117e-09,1.4957601e-11,3.049107e-09,1.3997181e-11,3.0495346e-09,1.2793093e-11,3.049534e-09,1.1441926e-11,3.0483853e-09,9.9302285e-12,3.0446463e-09,5.521658e-12,3.0418446e-09,3.1859643e-12,3.0377154e-09,8.891872e-13,3.0341138e-09,1.2676894e-12,3.0310294e-09,3.1120272e-13,3.0268847e-09,1.4456702e-12,3.0248246e-09,6.6452144e-13,3.0179637e-09,-4.960551e-13,3.014212e-09,-4.9667215e-13,3.0037879e-09,-3.9941076e-12,2.997046e-09,-1.906131e-12
